context,answer
أين يسكن الجزء الأكبر من سكان النيجر؟,ويسكن الجزء الأكبر من سكان النيجر المناطق النائية من البلاد
ما هي الدول التي تحد النيجر؟,ويحدها من الجنوب نيجيريا وبنين ومن الغرب بوركينا فاسو ومالي ومن الشمال كلاً من الجزائر وليبيا، فيما تحدها تشاد من جهة الشرق
ما هي العاصمة النيجرية؟,وعاصمتها هي مدينة نيامي
ما هو اعتماد اقتصاد النيجر؟,ويعتمد اقتصاد البلاد بشكل شبه كلي على تصدير بعض المنتجات الزراعية
ما هي الأحداث التاريخية التي مر بها النيجر؟,نتيجة الأحداث التاريخية المستقلة التي مرت بها كل جماعة عرقية وكل منطقة بالبلاد علاوة على حداثة عهدهم كدولة واحدة
ما هو دين أغلبية السكان في النيجر؟,ويعد الإسلام هو دين أغلبية السكان في البلاد
ما هو  سكان النيجر ؟,"يبلغ إجمالي عدد السكان قرابة 17,129,076 نسمة (2012)"
من هو أمين الصايغ ؟,شيخُ دينٍ درزي ومن أرفع المرجعيات الدينية عند طائفة الموحدين الدروز
متي ولد أمين الصايغ ؟,(17 نيسان 1959)
في أي سنة ألبس أمين الصايغ العمامة المُدوّرة؟,عام 2006
ما هي الرتبة التي حصل عليها أمين الصايغ مع العمامة المُدوّرة؟,المُكوّلسه
من ألبس العمامة المُدوّرة لأمين الصايغ؟,الشيخ جواد ولي الدين
متى تم تكريم أمين الصايغ وأربعة مشايخ آخرين بالعمامة في احتفال ديني؟,2023.
"متى بدأت مبادرة ""شعار حقوق الإنسان"" الدولية ؟",منذ عام 2010
ما هي الصور التي يجمع بينها شعار حقوق الإنسان؟,بين صورة ظليه لليد مع صورة ظليه أخرى لطائر، وإبهام أبيض يمسك بالطائر
ما هو الهدف من إنشاء شعار معترف به دوليًا لحقوق الإنسان؟,تعزيز حقوق الإنسان على المستوى الدولي. كما يرمز شعار حقوق الإنسان للحرية من خلال أصابع اليد المفتوحة لسلام والحرية وحرة كحمامة تطير
من هو أو دو-هيون؟,لاعب كرة قدم كوري جنوبي
في أي مركز يلعب أو دو-هيون في كرة القدم؟,مركز الدفاع
ما هو تاريخ ميلاد أو دو-هيون؟,ولد في 6 ديسمبر 1994
مع أي نادي لعب أو دو-هيون؟,نادي غوانغجو
اين ولد  أو دو-هيون؟,في كوريا الجنوبية
من هو كريستوبال خوركيرا؟,لاعب كرة قدم تشيلي
ما هي مراكز لعب كريستوبال خوركيرا في كرة القدم؟,الهجوم
متى ولد كريستوبال خوركيرا؟,في 4 أغسطس 1988
أين ولد كريستوبال خوركيرا؟,سانتياغو في تشيلي
هل شارك كريستوبال خوركيرا مع منتخب تشيلي لكرة القدم؟,شارك مع منتخب تشيلي لكرة القدم
مع أي الأندية لعب كريستوبال خوركيرا خلال مسيرته في كرة القدم؟,إسكيشهرسبور وبورصة سبور وكولو-كولو ونادي أوهيجينس ونادي بارما ونادي جنوى ويونيون إسبانيولا
ما هي محافظة البحر الأحمر؟,هي محافظة من محافظات جمهورية مصر العربية وإحدى محافظات مصر الحدودية
ما هي مواصفات سواحل محافظة البحر الأحمر؟,تمتد سواحل محافظة البحر الأحمر بطول 1080 كم، من خليج السويس، على خط عرض 29 شمالاً، إلى حدود السودان على خط عرض 22 شمالاً
ما هي الموانئ القديمة التي تعرف بأنها من أفضل مراكز الغوص والمنتجعات السياحية؟,يرقدون على الرمال البيضاء التي تزين السواحل الزرقاء أو على مراسى الشاطئ
ما هي الثروة المعدنية التي تنتجها محافظة البحر الأحمر؟,تنتج محافظة البحر الأحمر 75% من إنتاج مصر من البترول والغاز الطبيعي.
ما هي المدن والبلدات التي تضمها محافظة البحر الأحمر؟,تضم محافظة البحر الأحمر عدة مدن وبلدات
كم يبلغ طول سواحل محافظة البحر الأحمر؟,بطول 1080 كم
ما هي نسبة إنتاج محافظة البحر الأحمر من البترول والغاز الطبيعي؟,تنتج محافظة البحر الأحمر 75%
ما هي المواد المعدنية الأخرى التي تحتويها محافظة البحر الأحمر؟,الفوسفات والتنجستن والذهب والفضة والكروم والمنجنيز والزمرد وغيرهم
ما هو اسم الموقع المحلي لإيوان المدائن؟,(طاق أو طاك كسرى
ما هو إيوان المدائن؟,هو الأثر الباقي من أحد قصور كسرى أنوشروان
ما هو الأثر الذي يمثل إيوان المدائن؟,يمثل أكبر قاعة لإيوان كسرى مسقوفة بالأجر على شكل عقد
أين يقع إيوان المدائن؟,يقع جنوب مدينة بغداد في موقع مدينة طيسفون الواقعة
من هو سلمان الفارسي ؟,على اسم الصحابي الشهير سلمان الفارسي المدفون هناك.
ما هي مدينة طيسفون؟,الواقعة في منطقة المدائن التابعة إدارياً
ما هو الجدار الفاصل ؟,هو الجدار أو السياج الذي شُيِّد للحد من حركة الناس أو منعهم عبور خط معين أو حدود معينة.
"ما هي ""مابل""؟","هي الحلقة الأولى للموسم الأول من مسلسل إيه إم سي التلفزيوني الدرامي ""من الأفضل الاتصال بسول"""
"متى تم بث الحلقة الأولى من الموسم الأول من مسلسل ""من الأفضل الاتصال بسول"" وعلى أي قناة تم ذلك؟",تم بث الحلقة في 6 أبريل 2015
"علي أي قناة تم عرض حلقة ""مابل""؟",على قناة إيه إم سي بالولايات المتحدة
كيف تم استقبال الحلقة من قبل المشاهدين والنقاد؟,اشادة من النقاد. على روتن توميتوز، حصلت الحلقة على تقييم مثالي 100% بمتوسط درجات 8.67 من 10 بناءً على 16 تقييمًا
من هو إبراهيم مُرسال ورسامي؟,مخرج أفلام نرويجي
ما هي أصول إبراهيم مُرسال ورسامي؟,سودانية وصومالية
بماذا أشتهر إبراهيم مُرسال ورسامي؟,بكتابة وتوجيه فيلم فن الخطيئة
متي ولد مُرسال ؟,عام 1990
أين ولد إبراهيم مُرسال ورسامي؟,الصومال
ما هي خلفية تعليم إبراهيم مُرسال؟,درجة البكالوريوس في استكشاف النفط والغاز من جامعة السودان للعلوم والتكنولوجيا في عام 2012.
ما هي أول أعماله السينمائية ؟,50 قرش
"ما هو موضوع فيلمه القصير الأول ""50 قرش""؟",فيلم أنثروبولوجي يبحث في يوم من حياة 50 قرشًا
من هي روزماري أمبيم؟,لاعبة كرة قدم
متي ولدت روزماري أمبيم؟,27 أغسطس 1992
ما هي جنسية روزماري أمبيم؟,غانية
ما هو مركز روزماري أمبيم؟,كمدافعة
ماذا عن مشاركاتها الدولية؟,تلعب كمدافعة لمنتخب غانا الوطني لكرة القدم للسيدات
ما هو النادي الذي لعبت له روزماري أمبيم؟,أكرا في غانا.
كم عدد السفارات التي تستضيفها العاصمة نور سلطان حاليًا؟,69 سفارة
أين تقع السفارة المقيمة في موسكو، روسيا؟,كازاخستان
ما هي السياحة المفرطة؟,الازدحام أو التزاحم الزائد الناتج عن كثرة السياح
كيف يمكن أن ينظر السكان المحليون إلى السياحة؟,ينظرون إلى السياحة على أنها عامل تخريبي يثقل كاهل الحياة اليومية بشكل متزايد
متى بدأ استخدام مصطلح السياحة المفرطة؟,عام 2015
"متي وصفت شبكة سي إن إن السياحة المفرطة  بأنها ""رد فعل سلبي على السياحة""؟",عام 2018
كيف وصفت شبكة سي إن إن السياحة المفرطة؟,"رد فعل سلبي على السياحة"""
ما هو تاريخ يوم 28/9 في التقويم الميلادي الغربي؟,اليوم الثاني والسبعون بعد المئتين (272) من السنوات
ما هو الموقع الزمني ليوم 28/9 من السنة؟,اليوم الثامن والعشرون من الشهر التاسع) هو اليوم الحادي والسبعون بعد المئتين
كم يوماً تبقى لانتهاء السنة بعد يوم 28/9؟,يبقى بعده 94 يوما لانتهاء السنة
ما هو الفرق بين السنوات البسيطة والسنوات الكبيسة فيما يخص يوم 28/9؟,هو اليوم الحادي والسبعون بعد المئتين (271) من السنوات البسيطة، أو اليوم الثاني والسبعون بعد المئتين (272) من السنوات الكبيسة
متي ولد ماركو سبيرانزا ؟,18 يناير 1994
أين ولد ماركو سبيرانزا ؟,ميلانو في إيطاليا
في أي نادي لعب ماركو سبيرانزا ؟,نادي بيزا
من هو ماركو سبيرانزا ؟,لاعب كرة قدم إيطالي
ما هو مركز اللاعب ماركو سبيرانزا ؟,الدفاع
كم عدد السفارات في كينشاسا، جمهورية الكونغو الديمقراطية؟,57 سفارة
"ما هي ""بارسيفال""؟",هي أوبرا أو دراما موسيقية
"من كتب الليبريتو (النص) لأوبرا ""بارسيفال""؟",ريخارد فاغنر
"متى ابتُدعت أوبرا ""بارسيفال""؟",في أبريل 1857،
"متي أُنتجت ""بارسيفال"" أول مرة في مهرجان بايريوث الثاني؟",في 1882.
"الي اي عام ظل مهرجان بايريوث محتكرًا إنتاج ""بارسيفال"" ؟",حتى عام 1903،
"ماذا يعني اسم ""بارسيفال"" وما هو أصله؟",1877 ترجع إلى أصل فارس
ما هي العقوبة المفروضة على نشر مقال فاحش في هونغ كونغ؟,"تصل عقوبة هذه الجريمة بالسجن لمدة تصل إلى ثلاث سنوات وغرامة تصل إلى 1,000,000"
ما هو القانون الذي يحظر وضع مواد فاحشة على مواقع الإنترنت في هونغ كونغ؟,. يُعتبر نشر مقال فاحش جريمة في إطار قانون مكافحة المواد الإباحية والفاحشة (الفصل 390).
ما هو التصرف المعاقب بموجب قانون الجرائم الحاسوبية في هونغ كونغ؟,حُددت العقوبة القصوى للإدانة بتهمة أي من هذه الجرائم بخمس سنوات
ما هو القانون الذي ينظم حقوق السكان وواجباتهم الأساسية في هونغ كونغ؟,يوجز الفصل الثالث من القانون الأساسي «حقوق السكان وواجباتهم الأساسية» بما في ذلك حرية التعبير وتكوين الجمعيات والحق في الخصوصية
ما تأثير قانون الأمن القومي الذي أصدرته حكومة هونغ كونغ في عام 2020 على الرقابة على الإنترنت؟,حظرت الحكومة العديد من المواقع المناهضة للحكومة أو استقاء المعلومات الشخصية أو الحساسة سياسيًا، ما أدى إلى زيادة المخاوف من الرقابة على الإنترنت في هونغ كونغ
ما هي درجة الرقابة على الإنترنت في هونغ كونغ بالمقارنة مع باقي الصين؟,مقارنة ببقية الصين، تخضع شبكة الإنترنت لرقابة منخفضة نسبيًا في هونغ كونغ
ما هو المدى الذي يتمتع به هونغ كونغ من الاستقلال الذاتي بموجب الإعلان الصيني البريطاني لعام 1984؟,تتمتع هونغ كونغ بدرجة عالية من الاستقلال الذاتي باستثناء حالات الدفاع والشؤون الخارجية
ما هي القوانين التي تجرم نشر المواد غير المرخصة في هونغ كونغ؟,نشر المواد غير المرخصة المحمية بحقوق الملكية الفكرية والمحتوى الإباحي
ما هي الصلاحيات التي يمنحها قانون الأمن القومي في هونغ كونغ للحكومة؟,يمنح قانون الأمن القومي في هونغ كونغ الحكومة صلاحيات «إزالة أي رسائل إلكترونية منشورة»
ما هي الحقوق التي يتمتع بها شعب هونغ كونغ بموجب وثيقة حقوقهم؟,قانون هونغ كونغ ينص على منح حرية التعبير والصحافة، وحرية التعبير محمية بموجب وثيقة حقوق هونغ كونغ
كم نوعًا من النباتات المزهرة توجد في فصيلة النرجسية؟,قرابة 13-20 نوعًا
في أي مناطق تمثل النرجسيات وطنها الأصلي؟,مواطنها في شرق وجنوب آسيا في الصين واليابان وكوريا الجنوبية وشمال فيتنام وشمال لاوس وشمال تايلاند وشمال بورما ونيبال وشمال باكستان وأفغانستان وشرق إيران
ما هي اللقب الإنجليزي المشترك للنباتات المعروفة أيضًا بزنبق الإعصار؟,زنبق العنكبوت
من هو جوش إيكلس ؟,لاعب كرة قدم
ما هي جنسية جوش إيكلس ؟,بريطاني
ما هو مركز اللاعب جوش إيكلس ؟,الوسط
متي ولد جوش إيكلس ؟,2000
أين ولد جوش إيكلس ؟,كوفنتري في المملكة المتحدة
ما هو النادي الذي لعب معه جوش إيكلس ؟,كوفنتري سيتي.
من هو ديك شاما؟,لاعب كرة قدم ومدرب كرة قدم زامبي
ما هو مركز اللاعب ديك شاما؟,قلب الدفاع
متي ولد ديك شاما؟,11 فبراير 1946
أين ولد ديك شاما؟,تشيليلابومبوي في زامبيا
متي توفي ديك شاما؟,21 مارس 2006
أين توفي ديك شاما؟,لوساكا في زامبيا
ما هو المنتخب الذي شارك فيه ديك شاما؟,منتخب زامبيا لكرة القدم
ما هو النادي الذي لعب معه ديك شاما؟,غرين بافالوز
من هو حسن سليمان أحمد؟,فنان تشكيلي مصري
متي ولد حسن سليمان أحمد؟,(17 سبتمبر 1928
متي توفي حسن سليمان أحمد؟,15 أغسطس 2008)
أين ولد حسن سليمان أحمد؟,حارة طه السيوفي، هي إحدى الحارات الشعبية بين غمرة والسكاكيني في القاهرة
لماذا  كان في طفولته يعشق الآثار القديمة والتماثيل؟,لانه شاهدها ولمسها في منزل خاله أحمد فخري أحد علماء الآثار والمصريات،
ما هي الكليه التي كان يتمنى أن يلتحق بها؟,بكلية الآداب في قسم اللغة الإنجليزية
متي التحق بكلية الفنون الجميلة؟,عام 1947
متي  حصل على شهادة البكالوريوس من قسم التصوير؟,عام 1951
ما هو مركز لعب ماوريتسيو بيليغرينو في كرة القدم؟,الوسط
في أي مدينة ولد ماوريتسيو بيليغرينو؟,سرقوسة في إيطاليا
ما هي تاريخ ميلاد ماوريتسيو بيليغرينو؟,في 1 مارس 1966
مع أي نوادي لعب ماوريتسيو بيليغرينو خلال مسيرته في كرة القدم؟,مع نادي كاتانزارو ونادي كاتانيا.
ماذا حدث في حياة صالح الجميعي بعد تركه العراق؟,ترك العراق لأسباب خاصة، وسافر للاستقرار هو وعائلته في الولايات المتحدة في مدينة الميدا في ولاية كاليفورنيا
من هو صالح الجميعي؟,هو فنان تشكيلي ورسام عراقي
متي ولد صالح الجميعي؟,(مواليد 1939)
بماذا أشتهر صالح الجميعي؟,اشتهر بأعماله التي تستكشف فكرة المسارات التي خلفها التراث القديم
أين ولد صالح الجميعي؟,وُلد صالح الجميعي بمدينة الصويرة عام 1939 في محافظة واسط
ما هي بعض التفاصيل الدراسية والفنية لصالح الجميعي؟,أكمل دراسته الابتدائية والثانوية فيها، تخرج من معهد الفنون الجميلة في بغداد بدرجة شرف عام 1962،
ما هو مركز لاعب كرة القدم سيرهي كاربينكو؟,في مركز الدفاع
في أي تاريخ ولد سيرهي كاربينكو؟,في 19 مايو 1981
أين ولد سيرهي كاربينكو؟,في بوريسبيل في أوكرانيا.
ما هو لون العلم الذي كان يستخدمه اتحاد أوروبا الغربية؟,الأزرق الداكن مع نصف دائرة مكونة من عشر نجوم صفراء خماسية الرؤوس
ما هي الأحرف التي تظهر على العلم الذي كان يرمز إلى اتحاد أوروبا الغربية؟,مع الأحرف الأولى من اسم المنظمة في المنتصف
متى تم إنهاء معاهدة اتحاد أوروبا الغربية ولماذا؟,مع انتهاء أنشطته بحلول يونيو 2011، لا يمكن توقع أي استخدام آخر للعلم
متى تم استخدام العلم الذي يمثل اتحاد أوروبا الغربية في العمليات العسكرية؟,تم نقل العلم مرة واحدة على متن سفينة حربية تابعة للبحرية الأمريكية، يو إس إس جون رودجرز
كم تبعد القرية عن مدينة بيشة؟,حوالي 25 كيلو متر باتجاه الجنوب
كم  تبعد عنها قرية الشط؟,حوالي 3 كيلو متر باتجاه الشمال
ما هي المرافق الموجودة في القرية؟,عدداً من المدارس والمساجد ومركزاً صحياً أولياً وملعباً لكرة القدم
ما هي واعر ؟,قرية من قرى محافظة بيشة التابعة إلى منطقة عسير في المملكة العربية السعودية
أين تقع قرية واعر ؟,شرق وادي بيشة على بعد لأقل من 1 كيلو متر وهي من قرى بني منبه من شهران
كم عدد الأفلام التي شاركت في المسابقة؟,قرابة 400 فيلم من 30 دولة حول العالم
كيف تم اختيار الأفلام المنافسة على الجوائز؟,اختارت منها لجنة التحكيم في القناة أفضل عشرة أفلام للمنافسة على الجوائز
كيف تأثر تصويت جمهور الجزيرة الوثائقية على النتائج؟,ساهم تصويت جمهور الجزيرة الوثائقية على اليوتيوب بنسبة 40 بالمائة من النتيجة النهائية
من هو روماريو دا سيلفا ريسيندي ؟,لاعب كرة قدم برازيلي
ما هو المركز الذي لعب فيه روماريو دا سيلفا ريسيندي ؟,الوسط
متي ولد روماريو دا سيلفا ريسيندي ؟,3 ديسمبر 1990
أين ولد روماريو دا سيلفا ريسيندي ؟,ساو باولو في البرازيل
في أي نادي لعب روماريو دا سيلفا ريسيندي ؟,نادي بيروي ستارا زاغورا
"من هو المؤلف الذي كتب ""مرآة الإسلام""؟",الأديب المصري طه حسين
ما هو موضوع كتاب مرأة الاسلام ؟,يقسم الكتاب إلى قسمين في القسم الأول يحاول ويتناول المؤلف طه حسين استعراض شكل الحياة في الجزيرة العربية عند العرب منذ أواسط القرن السادس للميلاد
ما هو الهدف من استعراض شكل الحياة في الجزيرة العربية؟,كانت متخلفة أشد التخلف بالقياس إلى الامم والقوى الكبرى التي كانت تجاورها وقياسا إلى الروم والفرس اللتين مثلتا قوتين عظمتين تسلطتا على العالم في ذلك الوقت
من هو الشيخ العربي التبسي؟,أحد أعمدة الإصلاح في الجزائر، وأمين عام جمعية العلماء المسلمين الجزائريين والمجاهد الجزائري البارز الذي خطفته يد التعصب والغدر الفرنسية عام 1957م.
ما هي المناصب التي شغلها الشيخ العربي التبسي؟,أمين عام جمعية العلماء المسلمين الجزائريين والمجاهد الجزائري البارز
أين ولد الشيخ العربي التبسي؟,بقرية «السطح» النموشية (نسبة إلى قبيلة النمامشة )
كيف بدأ العربي التبسي حفظ القرآن؟,على يد والده في مسقط رأسه
ما هي الشهادات التي حصل عليها العربي التبسي؟,التحق بجامع الزيتونة بتونس العاصمة حيث نال شهادة الأهلية
متى  ولد الشيخ العربي التبسي؟,في سنة 1312هـ (1895م)
ما هي فترة إقامة العربي التبسي في القاهرة؟,مكث فيها يطلب العلم في حلقات جامع الأزهر ومكتباتها الغنية إلى سنة (1927م)
ما هي أهداف تأسيس الجمعية التي أسسها الشيخ العربي التبسي؟,توقظ الأمة وتنشر فيها الوعي والعلم وتجدد لها أمر دينها
من هو الشيخ الذي ينسب إليه مدينة تبسة؟,الشيخ العربي التبسي
ما هي رؤية الشيخ العربي التبسي للفرد في العصر الحالي؟,ذلك المقال الذي نشره سنة 1926م بعنوان «أزفت ساعة الجماعة وتحرم عصر الفر د» والذي قال فيه: «فإن هذا العصر عطل الفرد ونبذ حكمه، وأمات مفعوله
ما هي أسباب شهرة الموناليزا؟,بداية القرن التاسع عشر بدأ الناس يمدحون دافينشي وساد اعتقاد حينها بأنه عبقري
ما هي عدد زوار الموناليزا خلال السنة الواحدة؟,"يصل عدد زوارها إلى الستةِ ملايين زائر خلال السنة الواحدة ""(80% من زوار متحف اللوفر)"
ما هي المعلومات الواردة حول ابتسامة الموناليزا؟,وُصفت بِأنها غامضة ومبهمة؛ حيثُ حيرت العديد مِن الأشخاص
أين ولد ليوناردو دا فينشي؟,في تلة توسكانا الموجودة في فينشي، عند الوادي المنخفض في نهر أرنو الموجود في أحد مقاطعات جمهورية فلورنسا
متى ولد ليوناردو دا فينشي؟,في 15 أبريل 1452
ما هي الورشة التي دخلها ليوناردو عند بلوغه الرابعة عشر من عمره؟,ورشة العمل الخاصة بالرسام الفلورنسي أندريا دل فروكيو التي كانت تعد في ذلك الوقت من أرقى ورشات العمل
ما هي التخصصات التي درسها ليوناردو دا فينشي؟,درس ليوناردو العمارة، والهندسة.
من هو مؤرخ الفن الذي عرف عن تسمية الموناليزا بهذا الاسم؟,مؤرخ الفن جورجيو فاساري
متى بدأت شهرة الموناليزا؟,بداية القرن التاسع عشر
ما هي طريقة الرسم التي استخدمها ليوناردو دافينشي في الموناليزا؟,استخدامه لطريقة الرسم بمنظور من نقطة واحدة في الخلفية، وهنالك أمر يتعلق بجل التكوين الفني لهذه اللوحة، والطريقة التي استخدمها في رسم المنظور الجوي، حيث يساهم كل منهم في إيصال الصورة الشاملة لهذه اللوحة.
أين قضى ليوناردو الأولى خمس سنوات من حياته؟,في نجع موجود في أنكيانو في منزل والدته
من هم الفنانون الذين تدرب معهم ليوناردو في تلك الورشة؟,كفنان مع ساندرو بوتيتشيلي وبيترو بيروجينو
من هي الأشخاص الذين خدم لهم ليوناردو دا فينشي؟,مثل لورينزو دي ميديشي، ودوق سفورزا، وملوك مانتوفا، والملك فرانسوا الأول من فرنسا.
من هي صفاء الرواس؟,فنانة مغربية
متي ولدت صفاء الرواس؟,عام 1976
أين ولدت صفاء الرواس؟,تطوان بالمغرب
متي تخرجت صفاء الرواس؟,عام 1998
ما الطابع الذي يسيطر علي أعمال صفاء الرواس؟,غالبًا ما يهيمن على أعمالها، التجريدية والبسيطة، لون واحد، وهو الأبيض، والذي يرمز لها، وإلى اللامادية، والصمت، والهشاشة في الرسومات
ما العناصر التي تستخدمها صفاء الرواس في أعمالها؟,تتضمن أعمالها أيضًا عناصر مدببة أو حادة، مثل الإبر وشفرات الحلاقة والسكاكين والخيوط
ما الذي حدث صفاء الرواس في عام 2009؟,أختيرت في عام 2009 أيضًا كواحدة من خمس فنانات بارزات من الجيل الجديد من الفنانات في العالم الإسلامي لمعرض نيويورك
"ما هو الفيلم المصري ""السلاحف""؟",كوميدي مصري
من هو مخرج فيلم السلاحف ؟,سعيد محمد مرزوق
متي أصدر فيلم السلاحف ؟,عام 1996
من هو كاتب فيلم السلاحف ؟,حازم عبد المحسن
من هم أبطال الفيلم ؟,سمير غانم، تيسير فهمي، غادة الشمعة، صلاح عبدالله، محمود الحفناوي، وميمى سالم
من هو جوني موسكيرا؟,لاعب كرة قدم
ما هي جنسية جوني موسكيرا؟,كولومبي
ما هو مركز اللاعب جوني موسكيرا؟,الوسط
متي ولد جوني موسكيرا؟,17 فبراير 1991
أين  ولد جوني موسكيرا؟,ميديلين في كولومبيا
ما هو المنتخب الذي شارك معه جوني موسكيرا؟,منتخب كولومبيا تحت 20 سنة لكرة القدم
ما هو النادي الذي لعب معه جوني موسكيرا؟,ليفورنو
ما هي أسرة الملوك الثانية والعشرين في مصر؟,أسرة من أصل أجنبي اختلف المؤرخين حول ماهيته.
ما هو سبب نزوح القبائل الليبية نحو وادي النيل؟,مجاعة عمت موطنهم الأصلي
كيف اندمج ملوك الأسرة الثانية والعشرين في المجتمع المصري؟,وصلو للسلطة بشكل سلمي. مثل الهِكْسُوس من قبلهم كانوا حريصين على أن يظهروا بمظهر المصريين الأصليين،
من هو شُشِنْقْ الأول؟,مؤسس الأسرة الثانية والعشرين وأهم أفراد عشيرته
ما هو سِراپيوم؟,واحد لملوك الأسرة الحادية والعشرين
ما هو اللوح الحجري المنسوب إلى حَارْپْسون؟,يتتبع فيها نسبه عبر ستة عشر جيلا إلى جد يسمى بويوواوا
من هي ماريا سيرجيفنا بتروفيخ؟,هي شاعرة ومترجمة روسية، ولدت في 26 مارس 1908 في قرية نورسكي بوساد بالقرب من ياروسلافل
متى وُلدت ماريا بتروفيخ؟,في 26 مارس 1908
متى توفيت ماريا بتروفيخ؟,1 يونية 1979
أين وُلدت ماريا بتروفيخ؟,في قرية نورسكي بوساد بالقرب من ياروسلافل،
ما هي الحياة المهنية الأولى لماريا بتروفيخ؟,انتقلت ماريا عام 1925 إلى موسكو،
ما هي إر إم إس موريطنية؟,عابرة محيط منتظمة بريطانية
لماذا سميت السفينة بهذا الأسم ؟,سميت السفينة بذلك الاسم نسبة إلى مملكة موريطنية وليس نسبة إلى دولة موريتانيا
من تصميم من كانت إر إم إس موريطنية؟,ليونارد بيسكيت
ماذا حققت إر إم إس موريطنية فيما يتعلق بالحجم؟,كانت لفترة من الزمن أكبر سفينة في العالم حتى بناء آر إم إس أوليمبيك في 1910،
متى تم تفكيك إر إم إس موريطنية؟,1935
ما هي عجائب الدنيا السبع في العالم القديم؟,العديد من الكتيبات الإرشادية السياحية التي اشتهر تداولها بين السياح في اليونان القديمة
من هم المؤلفون الذين ألفوا كتبًا عن عجائب الدنيا السبع؟,أنتيباتر الصيداوي وفيلون البيزنطي
ما هي أهمية فتح الفاتحون اليونانيين لمعظم العالم في القرن الرابع قبل الميلاد؟,مما أعطى السياح اليونانيين فرصة وسهولة الوصول للبلدان الحضارية القديمة وزيارتها،
من هو آدم مايوفسكي؟,لاعب كرة قدم
ما هو مركز لعب آدم مايوفسكي في كرة القدم؟,الوسط،
في أي تاريخ وُلد آدم مايوفسكي؟,ديسمبر 1973
في أي مدينة وُلد آدم مايوفسكي؟,بوتسك
هل شارك آدم مايوفسكي مع منتخب بولندا لكرة القدم؟,شارك مع منتخب بولندا لكرة القدم.
ما هي الأندية التي لعب معها آدم مايوفسكي خلال مسيرته في كرة القدم؟,لعب مع لخ بوزنان وليغيا وارسو ونادي بانيونيوس
متى ولد شون ماكجينتي؟,في 11 أغسطس 1993
أين ولد شون ماكجينتي؟,في ميدستون في المملكة المتحدة.
في أي مركز يلعب شون ماكجينتي في كرة القدم؟,في مركز الدفاع
مع أي منتخبات كرة القدم شارك شون ماكجينتي؟,مع منتخب جمهورية أيرلندا تحت 17 سنة لكرة القدم ومنتخب جمهورية أيرلندا تحت 19 سنة لكرة القدم ومنتخب جمهورية أيرلندا تحت 20 سنة
مع أي الأندية لعب شون ماكجينتي في مسيرته الرياضية؟,مع أكسفورد يونايتد وشيفيلد يونايتد ومانشستر يونايتد ونادي ألدرشوت تاون ونادي ترانمير روفرز ونادي روتشديل ونادي كارلايل يونايتد ونادي موركامب ونورثامبتون تاون.
من هو ماتياس كاراباخال؟,لاعب كرة قدم
ما هي جنسية اللاعب ماتياس كاراباخال؟,أرجنتيني
ما هو مركز اللاعب ماتياس كاراباخال؟,الوسط
متي ولد ماتياس كاراباخال؟,3 يونيو 1986
أين ولد ماتياس كاراباخال؟,الأرجنتين
ما هو النادي الذي لعب معه ماتياس كاراباخال؟,فيرو كاريل أويستي.
ما هو الميكانيكا الإحصائية؟,هي تطبيق لنظريات الإحصاء
ما هي الأدوات الرياضية المستخدمة في الميكانيكا الإحصائية؟,ضمن مجال الميكانيكا الذي يهتم بحركة الجسيمات أو الأجسام عند خضوعها لقوى خارجية
ما هي الميكانيكا الإحصائية ؟,اطارا يربط الخواص المجهرية للجزيئات مع الخواص الجهرية للمواد التي تتألف أساسا من هذه الجزيئات مما يعطينا فكرة جيدة عن أصل الخواص المواد التي نراها يوميا في الحياة العادية
ما هي الثرموديناميكا الإحصائية؟,"أحد أهم فروعه هو الديناميكا حرارية (الثرموديناميك Thermodynamics) الذي يعتبر نتيجة لعلمي الإحصاء والميكانيكا (الكلاسيكي منه والكمي).
تطبيقات"
ما هي تطبيقات الميكانيكا الإحصائية في الفيزياء؟,نجده في دراسة حالة الغازات واستنباط قانون الغازات المثالية ومعادلة فان دير فالس للغازات.
ما هو دور الإحصاء في الميكانيكا الإحصائية؟,نجد أنه مثلا في درجات الحرارة المنخفضة جدا يمكن للإحصاء التنبؤ بحدوث ظواهر خاصة، لا يحصرها الإحصاء الكلاسيكي العادي
ما هو المرتزق؟,هو كل شخص يقوم بأى عمل بمقابل مادى بغض النظر عن نوعية العمل
ما هي الدول التي استخدمت المرتزقة في الأزمنة القديمة؟,مثل كاسيمير بولاسكي البولندي وبارون فون شتوبن البروسي ـ الذين ساعدا السكان الأمريكيين مرتزقة
ما هي فترة استخدام المرتزقة؟,من القرن الثاني عشر حتى القرن السادس عشر الميلاديين
لماذا قلل ظهور الجيوش الوطنية من الحاجة إلى المرتزقة؟,في بعض الأحيان ينقلبون المرتزقة على اسيادهم طمعا في الدولة ويسيطرون عليها
"ما هي بعض الأخطاء الشائعة في نطق كلمة ""مُرتزِق""؟",نَطقِ كلمةِ «مُرتزِق» هو فتحُ الزاي، فيقولون «هم مرتزَقة» وهذا خطأ، والصواب أن نقولَ «هم مرتزِقةٌ» بكسرها
ما هو تخصص ميكانيكا الموائع؟,هو تخصص فرعي من ميكانيكا المواد المتصلة وهو معني أساسا بالموائع
ما هي المواد التي يهتم بها تخصص ميكانيكا الموائع؟,السوائل والغازات
